PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Hortofruticultura;6805;Mestrado 2.º ciclo;8;2;6;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;6998;Mestrado 2.º ciclo;24;9;15;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura 1.º ciclo;47;24;23;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia (regime pós-laboral);8419;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia;9003;Licenciatura 1.º ciclo;51;36;15;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;125;58;67;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura 1.º ciclo;209;101;108;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura 1.º ciclo;64;27;37;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura 1.º ciclo;68;33;35;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura 1.º ciclo;264;235;29;2018/19
